# MOT

210603_012033_201234 :: grs:12.0:210602_195811_638887	log/no_ibt_ctmc_0_46_100_100_MOT/lk_gt_tmpls1_svm_min100_max50/CTMC_0_46_100_100/MOT	57.245	62.58	53.564	74.428	62.477	5051.000	67.429	1615.000	4999.000	1099384.000	1038933.000	80389.000	69.879	73.945	62.125	72.306	84.097	60.868	74.231	76.793	57.005	8352.000	5.015	87.089	69.390	65.575	720918.000	378466.000	318015.000	74.887	84.694	89.622	1009.000	525.000	81.000	32.508	1.341	931115.000	107818.000	168269.000	59.638	98.614	81.732


## dummy

### gttt
210529_110715_853066 :: grs:12.1:210529_105213_347716	log/no_ibt_ctmc_0_46_100_100_MOT/gtt_exit0_tmpls1/CTMC_0_46_100_100/active_abs_lost_abs_tracked_abs_glob_MOT	96.711	95.548	97.888	95.823	89.721	0.000	97.869	1615.000	1546.000	1099384.000	1055021.000	80389.000	95.75	99.776	97.978	99.877	99.949	96.813	96.954	99.93	96.886	3.000	4.830	97.869	99.926	95.894	1054243.000	45141.000	778.000	95.823	95.894	99.926	1449.000	88.000	78.000	5.449	0.010	1054243.000	778.000	45141.000	0.000	0.031	99.932
210529_112902_594276 :: grs:13.1:210529_105213_347746	log/no_ibt_ctmc_0_46_100_100_MOT/gtt_exit0_tmpls1/CTMC_0_46_100_100/active_oracle_lost_oracle_tracked_oracle_glob_MOT	60.998	66.54	56.564	76.744	62.105	20678.000	69.245	1615.000	4883.000	1099384.000	994494.000	80389.000	71.979	79.571	59.758	78.246	87.167	63.674	75.614	81.293	61.469	13540.000	5.263	88.777	72.897	65.942	724952.000	374432.000	269542.000	78.625	84.542	93.459	1003.000	527.000	85.000	32.632	0.809	929444.000	65050.000	169940.000	244.588	160.157	85.899
210529_112927_853037 :: grs:14.1:210529_105213_347775	log/no_ibt_ctmc_0_46_100_100_MOT/gtt_exit0_tmpls1/CTMC_0_46_100_100/active_pos_lost_pos_tracked_pos_glob_MOT	56.251	62.42	51.828	73.896	62.910	11149.000	65.800	1615.000	5454.000	1099384.000	1042726.000	80389.000	69.983	73.786	60.212	70.882	84.286	59.923	72.988	76.686	55.972	11086.000	4.954	87.123	67.588	64.105	704756.000	394628.000	337970.000	74.910	84.878	89.490	1016.000	519.000	80.000	32.136	1.363	933140.000	109586.000	166244.000	131.353	130.610	82.039
210529_123340_434241 :: grs:15.1:210529_105213_347804	log/no_ibt_ctmc_0_46_100_100_MOT/gtt_exit0_tmpls1/CTMC_0_46_100_100/active_rand_lost_rand_tracked_rand_glob_MOT	17.553	47.758	6.675	26.519	42.105	190262.000	14.774	1615.000	37275.000	1099384.000	1175777.000	80389.000	63.099	58.999	7.4069	54.155	83.446	20.328	24.782	66.159	16.396	69703.000	4.582	72.856	14.294	15.287	168068.000	931316.000	1007709.000	43.825	75.387	70.489	680.000	861.000	74.000	53.313	4.316	828792.000	346985.000	270592.000	2523.806	924.603	82.471

### lk
210529_111706_393687 :: grs:12.0:210529_105213_347351	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls1/CTMC_0_46_100_100/active_abs_lost_abs_tracked_abs_glob_MOT	96.711	95.548	97.888	95.823	89.721	0.000	97.869	1615.000	1546.000	1099384.000	1055021.000	80389.000	95.75	99.776	97.978	99.877	99.949	96.813	96.954	99.93	96.886	3.000	4.830	97.869	99.926	95.894	1054243.000	45141.000	778.000	95.823	95.894	99.926	1449.000	88.000	78.000	5.449	0.010	1054243.000	778.000	45141.000	0.000	0.031	99.932
210604_201306_885575	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls1/CTMC_iou2_0_46_100_100/active_oracle_lost_oracle_tracked_oracle_glob_MOT	60.722	61.661	60.48	81.057	64.396	2138.000	79.500	1615.000	3044.000	1099384.000	990030.000	80389.000	65.986	73.274	63.529	77.88	80.537	63.088	84.213	74.45	62.697	6843.000	4.768	90.135	83.891	75.547	830547.000	268837.000	159483.000	81.251	85.652	95.113	1040.000	498.000	77.000	30.836	0.602	941646.000	48384.000	157738.000	24.961	79.893	76.491
210529_125146_309709 :: grs:14.0:210529_105213_347515	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls1/CTMC_0_46_100_100/active_pos_lost_pos_tracked_pos_glob_MOT	52.627	59.549	47.288	75.878	64.582	3535.000	66.165	1615.000	4451.000	1099384.000	1048649.000	80389.000	66.475	69.691	57.548	62.555	80.316	55.914	73.392	72.292	53.056	7088.000	4.458	87.818	67.765	64.638	710619.000	388765.000	338030.000	76.199	85.792	89.943	1043.000	500.000	72.000	30.960	1.312	943185.000	105464.000	156199.000	41.204	82.618	76.500
